objective_id,objective_name,kr_id,phase,priority,status,kr_title,metric,target,dependencies,notes
O1,Canonical Contracts and Compatibility,O1-KR01,Baseline,P1,done,Publish target architecture doc,architecture doc published,1 approved architecture doc,,docs/ARCHITECTURE.md already exists
O1,Canonical Contracts and Compatibility,O1-KR02,Baseline,P1,done,Publish OKR implementation plan,implementation plan published,1 approved implementation plan,,docs/IMPLEMENTATION_PLAN.md already exists
O1,Canonical Contracts and Compatibility,O1-KR03,Phase 1,P0,done,Version the canonical schema package,schema module versioned,1 canonical schema module with schema_version policy,O1-KR01|O1-KR02,Canonical schema package added in server/cchistory/schema with v0.2 compatibility helpers
O1,Canonical Contracts and Compatibility,O1-KR04,Phase 1,P0,done,Split summary and detail API models,response models split,1 summary model and 1 detail model,O1-KR03,HistoryEntrySummary and HistoryEntryDetail added with projection helpers while legacy HistoryEntry stays compatible
O1,Canonical Contracts and Compatibility,O1-KR05,Phase 1,P0,done,Finalize stable identity and provenance fields,identity contract locked,entry_id source_id origin_primary_key and origin_payload_ref defined,O1-KR03,Canonical entries now expose stable entry_id source_id origin_primary_key and origin_payload_ref with deterministic ordering
O1,Canonical Contracts and Compatibility,O1-KR06,Phase 1,P1,done,Emit JSON schema and OpenAPI examples for core entities,contract examples published,OpenAPI examples for Source Entry Message Artifact and Chunk,O1-KR03|O1-KR04|O1-KR05,Schema examples added for live OpenAPI models and JSON schema catalog added for Artifact and Chunk
O1,Canonical Contracts and Compatibility,O1-KR07,Phase 1,P1,done,Document compatibility rules for old and new endpoints,compatibility rules documented,1 migration and compatibility note,O1-KR04|O1-KR05,Compatibility rules documented in docs/API_COMPATIBILITY.md
O1,Canonical Contracts and Compatibility,O1-KR08,Phase 1,P1,done,Write migration notes from /api/history to /api/entries,migration note published,1 endpoint migration guide,O1-KR07,Migration guide added in docs/API_MIGRATION_HISTORY_TO_ENTRIES.md
O1,Canonical Contracts and Compatibility,O1-KR09,Phase 1,P0,done,Add contract tests for ID round-trip and pagination determinism,contract tests passing,100 percent pass rate for ID and pagination tests,O1-KR04|O1-KR05|O1-KR06,Contract tests cover identity fields deterministic pagination OpenAPI examples and source-ID lookup
O2,Connector SDK and Ingestion Runtime,O2-KR01,Baseline,P1,done,Ship MVP datasource abstraction and registry,source abstraction available,DataSource base class and SourceRegistry merged,,Current code has direct fan-out datasource interfaces
O2,Connector SDK and Ingestion Runtime,O2-KR02,Phase 1,P0,done,Introduce target Connector SDK interface,sdk interface merged,Connector ABC exposes discover health scan_since and fetch,O1-KR03,Connector SDK added under server/cchistory/connectors/base.py
O2,Connector SDK and Ingestion Runtime,O2-KR03,Phase 1,P0,done,Add typed SourceHandle HealthStatus ScanBatch and NormalizedEvent models,sdk models merged,4 typed connector contract models,O2-KR02,Typed connector contract models added under server/cchistory/connectors/models.py
O2,Connector SDK and Ingestion Runtime,O2-KR04,Phase 1,P0,done,Validate connector config for source instances and secrets,validated config model merged,1 typed config model with validation rules,O1-KR03|O2-KR02,SourceInstanceConfig and validate_source_config added with slug validation and secret support
O2,Connector SDK and Ingestion Runtime,O2-KR05,Phase 1,P1,done,Migrate registry to source instance identifiers,registry migration complete,registry keyed by stable source instance IDs,O2-KR03|O2-KR04,Registry now stores instances by source_id and resolves both display names and source IDs
O2,Connector SDK and Ingestion Runtime,O2-KR06,Phase 2,P0,done,Build ingestion orchestrator skeleton with batch lifecycle,orchestrator lifecycle merged,orchestrator runs discover scan normalize validate and write stages,O2-KR03|O2-KR04,Ingestion orchestrator added with register run_source run_all and validated event writing
